,country,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate,chthrate
156,Qatar,33931.8320786,1.29,1.3342359,33.3,811965000.0,39.5999984741211,0.06,81.5903972711768,78.371,4.20743089152618,0.0,4759.45384354456,2.51572084427,76.0,95.64,33.36
157,Reunion,0.0,0.0,0,0.0,55146666.6667,37.9000015258789,0.0,0,77.653,0,5.0,0,0.0,44.2000007629,0,0.0
158,Romania,2636.78779985,16.15,1.5367663,44.3,7104137333.33,43.7999992370606,0.1,40.0200948796529,73.979,.423524288955078,9.5,467.565807708071,10.05932,49.5,54.24,44.4
159,Russia,2923.14435476,16.23,1.9414459,38.8,23404568000.0,53.7999992370606,1.0,43.3664977213404,68.823,1.03246988375935,7.0,825.941110733663,27.87416,58.7999992371,72.84,39.8
160,Rwanda,338.266391227,9.99,.7268554,8.8,20152000.0,80.5,2.9,13.0000061182229,55.442,0,3.5,0,13.1179485321,79.8000030518,18.34,11.7
161,Saint Kitts and Nevis,9175.79601474,10.62,0,0.0,2251333.33333,0,0.0,76.5875384615385,0.0,0,5.0,0,0.0,0.0,32.32,0.0
162,Saint Lucia,5248.58232147,12.05,0,0.0,7601000.0,0,0.0,40.0613793103448,74.641,0,5.0,0,8.21094799042,0.0,27.84,0.0
163,Saint Vincent and the Grenadines,4885.04670142,4.99,0,0.0,3659333.33333,0,0.0,0,72.283,0,5.0,0,9.59302711487,0.0,47.04,0.0
164,Samoa,1784.07128376,4.51,0,34.2,4352333.33333,0,0.0,6.96503804347826,72.444,0,5.0,0,5.54232358932,0.0,23,34.2
165,San Marino,31993.2006944,0.0,0,0.0,0.0,0,0.0,0,0.0,0,5.0,0,6.08767080307,0.0,94.22,0.0
166,Sao Tome and Principe,0.0,8.45,0,0.0,2335666.66667,0,0.0,18.7951136363636,64.666,0,5.0,0,10.4931497574,0.0,60.56,0.0
167,Saudi Arabia,9425.32586978,0.34,2.6182964,24.7,7861553333.33,17.7000007629395,0.0,41.0001284610901,73.911,4.57226780767154,0.0,3433.93244949286,6.4015378952,51.2000007629,82.42,24.7
168,Senegal,561.70858483,0.51,.3622613,18.4,127108666.667,56.9000015258789,0.9,15.9996499919575,59.318,0,8.5,55.7947435350112,6.81143856049,65.5999984741,42.38,19.3
169,Serbia,1194.71143338,12.21,0,0.0,0.0,0,0.1,43.0550670552736,74.522,0,9.0,1387.9785208178,13.71634,0.0,52.04,0.1
170,Serbia and Montenegro,0.0,0.0,0,58.4,0.0,41.0999984741211,0.0,0,0.0,0,5.0,0,14.4696483612,48.7000007629,0,58.4
171,Seychelles,8614.12021915,12.11,0,0.0,9155666.66667,0,0.0,40.7728505747126,0.0,0,5.0,0,9.50792789459,0.0,54.34,0.0
172,Sierra Leone,268.331790298,9.48,.5235483,28.1,29758666.6667,63.4000015258789,1.6,0,47.794,0,8.5,0,11.9804973602,63.7999992371,37.76,29.7
173,Singapore,32535.8325121,1.54,6.3949358,48.7,1548044666.67,51.2999992370606,0.1,71.131707307465,81.126,12.2286449914262,4.0,1464.83728128777,9.127511,62.4000015259,100,48.8
174,Slovak Republic,8445.52668874,13.31,.628578,48.0,590674333.333,45.2999992370606,0.06,79.8897773443831,75.446,.677392784741599,10.0,830.701647008188,10.64574,53.4000015259,56.56,48.06
175,Slovenia,12729.4543999,14.94,1.1602817,58.9,214368000.0,49.4000015258789,0.06,69.3399707174231,79.341,0,10.0,1585.17473879458,19.42261,55.9000015259,48.6,58.96
176,Solomon Islands,1144.10219337,1.37,0,29.8,5210333.33333,51.2999992370606,0.0,5.00137546468402,67.852,0,9.0,0,4.48475265503,65.0,17.96,29.8
177,Somalia,0.0,0.5,0,19.5,16379000.0,50.7000007629394,0.7,0,51.219,0,5.0,0,29.8641643524,66.0,36.52,20.2
178,South Africa,3745.64985213,10.16,.3318626,35.0,14609848000.0,34.2999992370606,17.8,12.3348932627873,52.797,.50465945290886,9.5,920.137599784772,15.7145709991,41.0999984741,60.74,52.8
179,Spain,15461.7583724,11.83,.9795374,50.9,10822529666.7,41.7000007629394,0.4,65.808553671507,81.404,1.61685912245698,10.0,1779.5035100472,5.888479,52.5,77.12,51.3
180,Sri Lanka,1295.74268609,0.81,2.569643,23.6,253854333.333,39.2000007629394,0.06,11.9999706615532,74.941,0,8.0,161.09346853593,28.1040458679,55.0999984741,15.1,23.66
181,Sudan,523.95015149,2.56,.969499,22.5,225019666.667,27.8999996185303,1.1,0,61.452,0,3.0,50.8921013827174,9.70955562592,47.2999992371,43.44,23.6
182,Suriname,2668.0205189,6.56,1.0584191,30.0,86317000.0,30.3999996185303,1.0,31.5680976,70.563,0,5.0,0,20.7474308014,44.7000007629,74.92,31.0
183,Swaziland,1810.23053263,5.05,0,12.3,22704000.0,47.0999984741211,25.9,9.00773590909091,48.718,0,0.5,0,12.8722219467,50.9000015259,24.94,38.2
184,Sweden,32292.4829839,9.5,.3520917,87.8,4286590000.0,56.7000007629394,0.1,90.0161900191939,81.439,1.54589380221323,10.0,4304.51440175762,11.11583,60.7000007629,84.54,87.9
185,Switzerland,37662.7512497,11.41,.52422,81.7,2406741333.33,57,0.4,82.166659877332,82.338,1.48741218722918,10.0,2361.03333632306,13.23981,64.3000030518,73.48,82.1
186,Syria,1525.7801159,1.49,5.9558471,44.8,1436893333.33,16.7000007629395,0.0,20.6631556805399,75.85,0,1.5,815.03109088878,0.523527562618,44.7999992371,54.22,44.8
187,Taiwan,0.0,0.0,0,0.0,5248815000.0,47.0999984741211,0.0,0,0.0,2.00651465798046,10.0,1831.7318482588,0.0,54.5,0,0.0
188,Tajikistan,279.180452556,3.39,.6048733,13.2,104170000.0,50.0999984741211,0.2,11.5493905146097,67.529,0,3.5,405.775385404175,2.64898085594,54.5999984741,26.46,13.4
189,Tanzania,456.385711651,7.86,.1347296,21.1,100782000.0,76.0999984741211,5.6,11.0000554403336,58.199,0,4.5,38.6345029820674,12.4111814499,78.1999969482,25.52,26.7
190,Thailand,2712.51719873,7.08,1.0936515,16.6,4200940333.33,65,1.3,21.2000717687567,74.126,.726249675321547,7.0,439.589731761561,9.84745979309,72.0,33.32,17.9
191,Timor-Leste,369.572953737,0.74,.2342862,0.0,850666.666667,54.7000007629394,0.0,.210066325622776,62.475,0,8.5,0,9.63311481476,67.3000030518,27.3,0.0
192,Togo,285.224449255,1.92,.3400308,28.1,32233666.6667,48.4000015258789,3.2,5.3798197146649,57.062,0,3.0,66.2385219315022,6.36988782883,63.9000015259,42,31.3
193,Tonga,2025.28266492,3.92,0,0.0,2907666.66667,0,0.0,12.0066923076923,72.317,0,5.0,0,4.52785158157,0.0,24.78,0.0
194,Trinidad and Tobago,10480.8172032,6.16,.581165,51.1,0.0,50.5,1.5,48.5168176733781,70.124,0,10.0,2261.3167125914,14.5471668243,61.5,13.22,52.6
195,Tunisia,3164.92769325,1.05,1.266624,19.6,525891666.667,21.3999996185303,0.06,36.5625529623661,74.515,0,3.0,325.839560846163,3.14681410789,41.5999984741,66.5,19.66
196,Turkey,5348.59719186,3.02,2.3794147,22.0,5675629666.67,21.8999996185303,0.06,39.8201778851441,73.979,.394489110829104,8.5,550.696610302057,3.56332468987,42.7999992371,68.68,22.06
197,Turkmenistan,2062.12515236,5.0,.9314175,17.9,531303666.667,53.9000015258789,0.0,2.19999781832606,64.986,1.11067147032078,0.5,351.166594069621,12.2167692184,58.5,48.62,17.9
198,Tuvalu,1714.94288995,2.14,0,0.0,0.0,0,0.0,25,0.0,0,5.0,0,7.9348115921,0.0,0,0.0
199,Uganda,377.421113257,16.4,.3445177,18.3,49793333.3333,80,6.5,12.5002554302298,54.116,0,4.5,0,12.2891216278,83.1999969482,12.98,24.8
200,Ukraine,1036.8307249,17.47,.9311688,39.9,5584766000.0,49.4000015258789,1.1,44.5853546903272,68.494,.255234906436274,8.5,673.584860977538,18.95457,54.4000015259,67.98,41.0
201,United Arab Emirates,21087.3941248,0.52,1.8124763,24.1,2315698000.0,37.2999992370606,0.0,77.9967811501598,76.546,4.29996445540218,1.0,11154.7550328078,1.39295065403,75.1999969482,77.88,24.1
202,United Kingdom,28033.4892828,13.24,.5080181,87.2,72524250333.3,53.0999984741211,0.2,84.7317047499679,80.17,1.18802809420466,10.0,1933.94561510918,6.014659,59.2999992371,89.94,87.4
203,United States,37491.1795229,9.7,.9723782,101.1,3.34220872333e+11,56,0.6,74.2475720044351,78.531,2.73854368267782,10.0,4542.84869496729,9.927033,62.2999992371,81.7,101.7
204,Uruguay,9106.32723422,8.99,1.5793413,83.1,275744333.333,46,0.5,47.8674686327078,77.005,0,10.0,823.823197539603,14.53727,57.5,92.3,83.6
205,Uzbekistan,952.827260828,3.61,.7096295,17.3,1718339333.33,52.5999984741211,0.1,19.4450205469746,68.287,.182184525086117,0.5,261.433953200106,5.21372,57.5,36.82,17.4
206,Vanuatu,1543.95645667,0.96,0,24.0,2977333.33333,0,0.0,7.98836666666667,71.017,0,5.0,0,4.98342180252,0.0,24.76,24.0
207,Venezuela,5528.36311388,7.6,.9040245,34.3,5418886000.0,45.7999992370606,0.0,35.8504369560241,74.402,1.21463677339747,3.5,969.004338760415,4.11962,59.9000015259,93.32,34.3
208,Vietnam,722.807558834,3.91,1.0853671,16.2,1425435000.0,67.5999984741211,0.4,27.8518215557703,75.181,0,1.5,302.725654656034,11.6533222198,71.0,27.84,16.6
209,West Bank and Gaza,0.0,0.0,5.9360854,0.0,14241333.3333,11.3000001907349,0.0,36.4227717919075,72.832,0,5.0,0,0.0,32.0,71.9,0.0
210,"Yemen, Rep.",610.357367321,0.2,2.3162346,35.1,234864666.667,20.2999992370605,0.0,12.3497504635596,65.493,0,4.0,130.05783139719,6.26578903198,39.0,30.64,35.1
211,Zambia,432.226336975,3.56,.3413352,13.0,132025666.667,53.5,13.5,10.124986462443,49.025,0,8.5,168.623030511023,12.019036293,61.0,35.42,26.5
212,Zimbabwe,320.771889949,4.96,1.0327854,19.0,590219666.667,58.0999984741211,14.3,11.5004153209768,51.384,0,5.5,297.883200408304,13.9052667618,66.8000030518,37.34,33.3
